hip_id,ra_degrees,dec_degrees,magnitude
11925,38.4776,-51.0935,6.24
12002,38.6775,-7.8593,5.74
12022,38.7672,7.4713,6.17
12057,38.8662,39.6645,6.36
12072,38.9114,37.3123,5.72
12086,38.945,34.6877,5.38
12093,38.9687,5.5933,4.87
12107,39.0003,-7.8315,5.53
12114,39.016,6.8834,5.79
12122,39.0387,-30.045,5.74
12148,39.1463,7.7301,5.81
12153,39.1573,12.4478,5.64
12160,39.1794,31.6077,6.07
12181,39.2378,38.734,5.91
12186,39.2443,-34.5773,5.78
12189,39.2518,24.6473,6.48
12200,39.2771,32.891,6.23
12225,39.3511,-52.5431,5.3
12239,39.4,65.7454,5.8
12247,39.4241,-3.3961,5.65
12272,39.5029,7.6954,6.4
12273,39.5087,72.8182,5.17
12287,39.5744,37.7268,6.19
12288,39.5775,-30.1939,5.84
12300,39.6031,-37.9904,6.48
12305,39.6164,38.0892,6.29
12318,39.6533,3.4432,6.21
12332,39.7042,21.9614,5.45
